dr2_source_id,dr3_source_id,kepid,ra_EDR3,dec_EDR3,weight,v_l,v_b,x_pc,y_pc,z_pc,kic_dr2_ang_dist,edr3_dr2_mag_diff
2126234520642176640,2126234520642176640,8429170,291.2194,44.47148,0.116,1.43,-4.0,-8046.5,312.9,95.7,0.019,-0.013
2126351588572776064,2126351588572776064,8234825,292.36511,44.11231,0.024,6.49,0.79,-8058.9,262.1,79.1,0.017,-0.015
2126363408322823936,2126363408322823936,8366870,292.31744,44.3339,0.038,3.96,-9.0,-8053.1,290.2,86.0,0.015,-0.013
2125710985610039808,2125710985610039808,6780052,292.62888,42.22465,0.03,1.58,-6.7,-8049.5,267.3,75.6,0.01,-0.015
2125788428159994368,2125788428159994368,7032968,291.58626,42.50992,0.04,-1.34,0.35,-8041.2,296.2,86.1,0.067,-0.005
2126145052183993344,2126145052183993344,8027456,291.31599,43.85932,0.118,1.9,-3.14,-8046.9,298.7,90.6,0.022,0.006
2126169993053537024,2126169993053537024,8233504,291.85785,44.16529,0.097,1.23,-5.49,-8044.9,317.3,93.5,0.045,-0.004
2100663595331153920,2100663595331153920,4819564,286.35547,39.91813,0.105,-1.21,-3.59,-7997.7,353.5,117.6,0.125,-0.022
2100218568000743680,2100218568000743680,4136285,284.80121,39.21732,0.045,-1.19,0.43,-8017.9,277.9,102.0,0.02,0.011
2100711046130108544,2100711046130108544,5171232,286.51287,40.3596,0.341,-1.0,-3.2,-8010.0,327.1,110.6,0.053,-0.011
2101088900175248000,2101088900175248000,4649635,290.19325,39.75799,0.044,4.01,-3.71,-8012.2,332.7,93.6,0.042,-0.01
2101092091333095936,2101092091333095936,4649476,290.14963,39.78376,0.067,2.39,-1.91,-8015.9,321.7,91.5,0.028,0.008
2100727882401602944,2100727882401602944,4994506,286.03185,40.14174,0.295,-0.87,-3.63,-8005.2,334.2,114.3,0.054,-0.005
2099866243243441152,2099866243243441152,2831943,285.78999,38.02786,0.065,1.89,-0.83,-7991.3,334.4,111.2,0.086,-0.016
2100302680639307904,2100302680639307904,4137413,285.14946,39.29783,0.324,-0.76,-2.12,-8005.6,313.9,111.1,0.535,-0.029
2101462562329928704,2101462562329928704,5869314,289.54672,41.18013,0.031,4.99,-1.59,-8030.2,297.3,91.5,0.048,-0.016
2101469021961212544,2101469021961212544,6117832,289.98927,41.43673,0.052,2.58,-3.64,-8017.5,346.7,101.8,0.089,-0.018
2100344462081547904,2100344462081547904,4636938,285.59229,39.7915,0.186,0.5,-0.98,-8006.5,322.0,112.3,0.078,-0.001
2099929151623465728,2099929151623465728,3096453,285.3642,38.28135,0.073,-1.0,-5.85,-7983.9,355.3,119.7,0.057,-0.005
2099934339943954176,2099934339943954176,3215845,285.28831,38.39598,0.277,-2.98,-4.44,-8001.0,312.7,108.4,0.017,-0.009
2100367757983349760,2100367757983349760,3631048,286.81294,38.78793,0.311,-1.33,-4.57,-8002.4,323.4,104.9,0.049,-0.023
2100375523284267648,2100375523284267648,3836772,287.06854,38.94507,0.25,-2.66,-2.62,-8005.2,320.0,103.1,0.034,-0.009
2099956678074032512,2099956678074032512,3218637,286.38204,38.33539,0.212,-2.44,-3.14,-8005.5,305.8,101.4,0.039,0.0
2101503175541042048,2101503175541042048,5360976,291.35467,40.53003,0.062,2.93,-5.98,-8035.9,278.7,79.0,0.098,-0.017
2100395035319632256,2100395035319632256,4142137,286.98931,39.21278,0.385,-1.54,-3.91,-8006.3,320.8,104.3,0.136,-0.02
2100010519784766080,2100010519784766080,3731563,286.42592,38.85712,0.186,-1.75,-3.46,-7993.0,347.7,113.3,0.048,0.005
2100458330254475136,2100458330254475136,4448737,286.45034,39.50919,0.318,-1.67,-3.85,-8002.1,334.4,111.1,0.068,0.005
2100907648256384896,2100907648256384896,6028942,286.95923,41.37206,0.046,-6.7,-2.79,-8013.9,336.5,113.2,0.076,-0.008
2101219742057611264,2101219742057611264,4646159,289.17732,39.70034,0.065,1.63,-1.85,-8024.4,289.0,88.0,0.046,-0.006
2100028249409425664,2100028249409425664,3527862,285.94628,38.66019,0.27,-2.59,-4.24,-8003.6,313.4,106.0,0.059,0.002
2100049857384809344,2100049857384809344,3629496,286.20407,38.74263,0.243,-2.13,-2.95,-8007.4,306.1,103.0,0.09,0.008
2100052262566491904,2100052262566491904,3731157,286.27174,38.83976,0.032,1.28,2.33,-8004.6,315.3,105.4,0.066,-0.005
2101570417549452032,2101570417549452032,5702239,290.73169,40.92484,0.124,-0.19,-4.61,-8022.8,324.3,92.1,0.041,-0.005
2101676378683891584,2101676378683891584,6365076,292.16064,41.74322,0.091,0.62,-4.95,-8029.2,328.6,88.9,0.041,0.002
2101285575317012352,2101285575317012352,4825003,288.54604,39.96487,0.26,-0.46,-3.8,-8012.1,326.0,100.1,0.112,-0.012
2100120986342958720,2100120986342958720,3322943,285.17458,38.42774,0.075,-3.97,-5.85,-8013.9,279.3,99.6,0.025,-0.016
2100137238499702016,2100137238499702016,3728906,285.3008,38.82375,0.067,-3.99,-3.59,-8020.5,268.0,96.5,0.042,-0.005
2100574397451768320,2100574397451768320,5262561,287.78395,40.41587,0.213,-0.12,-2.96,-8011.1,332.5,106.2,0.019,-0.018
2101309592774323584,2101309592774323584,5176547,288.62362,40.39717,0.208,-0.29,-3.63,-8012.5,333.2,102.4,0.098,0.004
2100996536898063232,2100996536898063232,4555662,289.92993,39.66317,0.042,-5.99,-5.19,-8005.2,350.5,98.5,0.017,-0.008
2100154452728605312,2100154452728605312,3831911,285.05514,38.98501,0.202,-1.46,-4.63,-8008.8,300.2,107.0,0.063,-0.014
2101008704545730560,2101008704545730560,4149670,289.49802,39.29855,0.072,-2.65,-2.35,-8023.1,288.4,85.8,0.038,-0.007
2100633358763030784,2100633358763030784,5435597,287.54381,40.65047,0.14,0.65,-1.78,-8023.8,296.8,98.5,0.078,0.008
2100206365995549056,2100206365995549056,4036736,284.9697,39.13885,0.275,-0.88,-2.03,-8001.9,320.4,113.5,0.135,-0.012
2101037085690140544,2101037085690140544,4458172,289.77059,39.57859,0.04,-6.53,-4.27,-8018.6,307.8,89.6,0.038,0.009
2101037257488816640,2101037257488816640,4458109,289.75631,39.57642,0.064,-5.57,-3.73,-8016.5,313.9,91.0,0.13,0.001
2128121286897010432,2128121286897010432,9655045,294.2125,46.35674,0.169,3.22,-2.83,-8066.9,286.5,83.0,0.063,0.04
2126835614205717760,2126835614207308800,7955782,290.34822,43.77137,0.038,2.32,-0.75,-8035.6,334.4,102.8,0.027,0.001
2128171830072037632,2128171830072037632,9715163,293.87443,46.42831,0.063,3.77,-7.8,-8067.3,283.4,83.6,0.154,0.011
2126860108399441024,2126860112700786432,8024987,290.48861,43.81671,0.037,-0.26,-6.83,-8052.1,272.2,87.2,0.077,-0.012
2127785313075229184,2127785313075229184,9945771,289.36144,46.89237,0.133,3.01,-2.69,-8066.7,263.4,94.3,0.03,-0.001
2127789990298259840,2127789990298259840,10068906,289.25726,47.02773,0.02,0.21,1.36,-8060.6,295.2,103.8,0.029,-0.017
2127336166873534208,2127336166873534208,9273730,288.58939,45.72064,0.065,0.63,-4.72,-8048.7,312.8,108.7,0.044,-0.006
2128208972950146816,2128208972950146816,10017419,294.2079,46.96699,0.044,5.85,-1.29,-8061.5,332.0,94.5,0.043,-0.01
2127356129881815168,2127356129881815168,9397901,289.04401,45.96392,0.077,0.87,-4.96,-8057.2,284.4,99.5,0.067,-0.012
2128286694677360512,2128286694677360512,9772586,292.68066,46.50102,0.109,1.24,-1.86,-8062.9,297.5,91.1,0.039,0.008
2127002533814133248,2127002533814133248,8621969,290.76774,44.72739,0.03,-4.1,-1.19,-8044.2,324.7,100.9,0.091,-0.012
2127002602533604736,2127002602533604736,8621939,290.7606,44.72666,0.039,-3.67,-2.15,-8043.8,326.3,101.3,0.05,-0.004
2127073005637981440,2127073005637981440,8881126,290.20131,45.13268,0.073,4.49,-4.57,-8050.4,303.8,98.8,0.073,-0.018
2126672852125705216,2126672852125705216,9087249,291.25842,45.43925,0.118,2.73,-5.19,-8059.4,278.6,89.3,0.055,0.001
2128039373280457472,2128039373280457472,9221678,293.19785,45.66167,0.028,0.69,1.75,-8060.7,292.2,86.2,0.074,0.002
2128053392054482688,2128053392054482688,9406987,293.01673,45.98152,0.023,4.75,0.51,-8056.5,318.6,93.6,0.047,-0.017
2128080536248155776,2128080536248155776,9591182,293.12991,46.26286,0.145,4.13,-1.64,-8064.1,289.4,87.1,0.14,-0.0
2128496529598795648,2128496529598795648,10471960,292.53624,47.60202,0.249,3.52,-3.03,-8070.4,285.2,91.0,0.025,-0.028
2102391512214758144,2102391512214758144,6352430,287.74069,41.77595,0.08,0.84,-5.6,-8014.5,347.6,113.4,0.133,0.009
2103300877049828736,2103300877049828736,4726192,284.10288,39.80577,0.419,-2.26,-2.73,-8006.3,314.9,117.2,0.059,-0.012
2103305034578025728,2103305034578025728,4633285,283.91853,39.74887,0.263,-2.07,-1.25,-8006.8,311.7,117.0,0.016,-0.004
2103307611556131584,2103307611556131584,4725882,283.96104,39.82542,0.025,4.39,-5.66,-8001.3,327.9,121.9,0.917,-0.01
2103308126954515712,2103308126954515712,4725913,283.97312,39.86613,0.385,-1.09,-3.2,-8010.6,303.6,114.4,0.081,-0.001
2103312421921812736,2103312421921812736,4814229,283.89173,39.94316,0.343,-2.56,-3.43,-8006.5,315.5,118.6,0.022,-0.025
2103312593720517888,2103312593720517888,4814290,283.91815,39.99156,0.406,-2.05,-3.55,-8007.3,314.1,118.2,0.064,-0.019
