BJDTDB,FLUX,E_FLUX,BANDPASS
2459433.976458,1.00521,0.00098,g
2459433.976978,1.00078,0.00098,g
2459433.977508,1.00463,0.00098,g
2459433.978031,1.00385,0.00098,g
2459433.978555,1.00483,0.00098,g
2459433.979077,1.00287,0.00098,g
2459433.979608,1.00432,0.00098,g
2459433.980135,1.0057,0.00098,g
2459433.980655,1.00104,0.00098,g
2459433.981183,1.00191,0.00098,g
2459433.981705,1.00255,0.00098,g
2459433.98223,1.00425,0.00098,g
2459433.982757,1.0026,0.00098,g
2459433.98328,1.0039,0.00099,g
2459433.983809,1.00235,0.00099,g
2459433.984331,1.0045,0.00099,g
2459433.984851,1.0034,0.00099,g
2459433.985376,1.00321,0.00099,g
2459433.985907,1.00266,0.00099,g
2459433.986426,1.00384,0.00099,g
2459433.986954,1.0033,0.001,g
2459433.987478,1.00357,0.001,g
2459433.988006,1.0049,0.001,g
2459433.988532,1.00433,0.001,g
2459433.989057,1.00236,0.001,g
2459433.989578,1.0066,0.001,g
2459433.990104,1.00465,0.001,g
2459433.990632,1.00497,0.001,g
2459433.991153,1.00416,0.001,g
2459433.991676,1.00413,0.001,g
2459433.992202,1.00719,0.00101,g
2459433.992729,1.00558,0.00101,g
2459433.993255,1.00571,0.00101,g
2459433.993778,1.00496,0.00101,g
2459433.994306,1.00636,0.00101,g
2459433.994834,1.00699,0.00101,g
2459433.995356,1.0081,0.00101,g
2459433.995876,1.00619,0.00102,g
2459433.996402,1.00764,0.00102,g
2459433.996931,1.00822,0.00102,g
2459433.997453,1.00756,0.00102,g
2459433.99798,1.0037,0.00102,g
2459433.998507,1.00744,0.00102,g
2459433.999028,1.00629,0.00102,g
2459433.999552,1.00381,0.00102,g
2459434.00008,1.00699,0.00103,g
2459434.000607,1.0049,0.00103,g
2459434.001135,1.00666,0.00103,g
2459434.001655,1.00555,0.00103,g
2459434.002182,1.00486,0.00103,g
2459434.002707,1.00425,0.00103,g
2459434.003238,1.00562,0.00103,g
2459434.003765,1.00672,0.00103,g
2459434.004284,1.00731,0.00104,g
2459434.004811,1.00648,0.00104,g
2459434.005335,1.00466,0.00104,g
2459434.005861,1.00319,0.00104,g
2459434.006388,1.00581,0.00104,g
2459434.006915,1.00586,0.00104,g
2459434.007442,1.00574,0.00105,g
2459434.007965,1.0057,0.00105,g
2459434.008491,1.00739,0.00105,g
2459434.009011,1.00789,0.00106,g
2459434.009541,1.0077,0.00105,g
2459434.01006,1.00344,0.00106,g
2459434.010585,1.00829,0.00106,g
2459434.01111,1.00829,0.00106,g
2459434.01164,1.00371,0.00106,g
2459434.012165,1.00649,0.00107,g
2459434.012691,1.00668,0.00107,g
2459433.829324,0.99849,0.00112,r
2459433.829579,0.99611,0.00112,r
2459433.829846,0.99702,0.00112,r
2459433.830101,0.99768,0.00112,r
2459433.830368,0.99766,0.00112,r
2459433.830623,0.99643,0.00112,r
2459433.83089,0.99691,0.00112,r
2459433.831145,0.9978,0.00112,r
2459433.8314,0.99705,0.00112,r
2459433.831667,0.99715,0.00112,r
2459433.831923,0.99816,0.00112,r
2459433.832178,0.99832,0.00112,r
2459433.832445,0.99848,0.00112,r
2459433.8327,0.99672,0.00112,r
2459433.832955,0.99855,0.00112,r
2459433.833222,0.99712,0.00112,r
2459433.833477,0.99867,0.00112,r
2459433.833744,0.99821,0.00112,r
2459433.834,0.99587,0.00112,r
2459433.834255,0.99713,0.00112,r
2459433.834522,0.99548,0.00112,r
2459433.834777,0.99681,0.00112,r
2459433.835032,0.99581,0.00112,r
2459433.835298,0.99782,0.00112,r
2459433.835553,0.99647,0.00112,r
2459433.835808,0.99671,0.00112,r
2459433.836075,0.99528,0.00112,r
2459433.83633,0.99591,0.00112,r
2459433.836585,0.99862,0.00112,r
2459433.836852,0.99944,0.00112,r
2459433.837107,0.99756,0.00112,r
2459433.837373,0.99702,0.00112,r
2459433.837628,0.99684,0.00112,r
2459433.837883,0.99535,0.00112,r
2459433.83815,0.99735,0.00112,r
2459433.838405,0.99899,0.00112,r
2459433.83866,0.99776,0.00112,r
2459433.838927,0.99759,0.00112,r
2459433.839182,0.99832,0.00112,r
2459433.839437,0.99772,0.00112,r
2459433.839703,0.99854,0.00112,r
2459433.839959,0.9991,0.00112,r
2459433.840214,0.99621,0.00112,r
2459433.84048,0.99633,0.00112,r
2459433.840735,0.99639,0.00112,r
2459433.84099,0.99795,0.00112,r
2459433.841257,0.99661,0.00112,r
2459433.841512,0.9966,0.00112,r
2459433.841767,0.99865,0.00113,r
2459433.842033,0.99793,0.00113,r
2459433.842289,0.9975,0.00113,r
2459433.842555,0.99882,0.00113,r
2459433.84281,0.9971,0.00113,r
2459433.843065,0.99531,0.00113,r
2459433.843332,0.99845,0.00112,r
2459433.843599,0.99693,0.00113,r
2459433.843854,0.99769,0.00113,r
2459433.844109,0.99724,0.00113,r
2459433.844376,0.99455,0.00112,r
2459433.84463,0.99704,0.00113,r
2459433.844885,0.99582,0.00113,r
2459433.845152,0.99779,0.00113,r
2459433.845407,0.99826,0.00113,r
2459433.845662,0.99779,0.00113,r
2459433.845929,0.99693,0.00113,r
2459433.846184,0.99667,0.00113,r
2459433.846439,0.99833,0.00113,r
2459433.846706,0.99775,0.00113,r
2459433.846961,0.99758,0.00113,r
2459433.847217,0.99828,0.00113,r
2459433.847483,0.99794,0.00112,r
2459433.847738,0.99607,0.00112,r
2459433.847993,0.99777,0.00112,r
2459433.84826,0.99765,0.00113,r
2459433.848527,0.9977,0.00113,r
2459433.848782,0.99872,0.00113,r
2459433.849037,0.99885,0.00113,r
2459433.849292,0.9984,0.00113,r
2459433.849558,0.9975,0.00113,r
2459433.849814,0.99696,0.00113,r
2459433.850069,0.99822,0.00113,r
2459433.850336,0.99622,0.00113,r
2459433.850591,0.9963,0.00113,r
2459433.850857,0.99808,0.00113,r
2459433.851112,0.99837,0.00113,r
2459433.851367,0.99849,0.00113,r
2459433.851634,0.99796,0.00113,r
2459433.851889,0.99633,0.00113,r
2459433.852144,0.99436,0.00113,r
2459433.852412,0.99785,0.00113,r
2459433.852667,0.99659,0.00113,r
2459433.852922,0.99926,0.00113,r
2459433.853189,0.99958,0.00113,r
2459433.853444,0.99759,0.00113,r
2459433.853699,0.99961,0.00113,r
2459433.853965,0.99794,0.00113,r
2459433.854221,0.99788,0.00113,r
2459433.854487,0.99903,0.00113,r
2459433.854742,0.99792,0.00113,r
2459433.854998,1.00014,0.00113,r
2459433.855253,0.99982,0.00113,r
2459433.85552,0.99876,0.00113,r
2459433.855775,0.99692,0.00112,r
2459433.85603,0.99911,0.00113,r
2459433.856297,0.9984,0.00113,r
2459433.856552,0.99769,0.00113,r
2459433.856807,0.99884,0.00113,r
2459433.857073,0.99747,0.00113,r
2459433.857328,0.99694,0.00114,r
2459433.857583,0.99762,0.00114,r
2459433.85785,0.99856,0.00114,r
2459433.858105,0.99569,0.00113,r
2459433.85836,0.99566,0.00114,r
2459433.858627,0.99734,0.00113,r
2459433.858882,0.99967,0.00113,r
2459433.859148,0.996,0.00114,r
2459433.859403,0.99616,0.00113,r
2459433.859658,0.99798,0.00113,r
2459433.859925,0.99885,0.00114,r
2459433.86018,0.99865,0.00113,r
2459433.860435,0.99564,0.00113,r
2459433.860701,1.0012,0.00113,r
2459433.860956,0.99896,0.00113,r
2459433.861223,0.9985,0.00114,r
2459433.861478,0.999,0.00114,r
2459433.861733,0.99923,0.00114,r
2459433.862,0.99853,0.00113,r
2459433.862255,0.99979,0.00114,r
2459433.862777,0.99991,0.00114,r
2459433.863032,1.0,0.00114,r
2459433.865109,0.99592,0.00114,r
2459433.865365,0.99854,0.00114,r
2459433.86562,0.99767,0.00114,r
2459433.865887,0.99641,0.00113,r
2459433.866142,0.99832,0.00114,r
2459433.866397,0.99838,0.00113,r
2459433.866664,0.99774,0.00113,r
2459433.866919,0.99826,0.00113,r
2459433.867175,0.9982,0.00113,r
2459433.867442,0.99807,0.00113,r
2459433.867697,0.99983,0.00113,r
2459433.867952,0.99915,0.00113,r
2459433.868219,0.99904,0.00113,r
2459433.868474,0.99954,0.00114,r
2459433.86873,0.99808,0.00113,r
2459433.868996,0.99768,0.00113,r
2459433.869252,0.99911,0.00113,r
2459433.869507,0.99928,0.00113,r
2459433.869774,0.99958,0.00113,r
2459433.870029,0.99893,0.00113,r
2459433.870284,1.00087,0.00113,r
2459433.870551,0.99831,0.00113,r
2459433.870807,0.99917,0.00113,r
2459433.871062,0.99822,0.00113,r
2459433.871329,0.99871,0.00113,r
2459433.871584,0.99673,0.00113,r
2459433.871851,1.00023,0.00113,r
2459433.872118,0.99886,0.00113,r
2459433.872373,1.00021,0.00113,r
2459433.872628,0.99881,0.00113,r
2459433.872895,0.99884,0.00113,r
2459433.873151,1.00166,0.00113,r
2459433.873417,0.99881,0.00113,r
2459433.873673,0.99813,0.00113,r
2459433.87394,1.00014,0.00113,r
2459433.874195,1.00044,0.00113,r
2459433.874462,0.99893,0.00113,r
2459433.874717,0.99817,0.00113,r
2459433.874984,0.99998,0.00113,r
2459433.875239,0.9984,0.00113,r
2459433.875505,0.99874,0.00113,r
2459433.87576,1.00119,0.00113,r
2459433.876027,0.99788,0.00113,r
2459433.876282,0.99799,0.00113,r
2459433.87656,1.00064,0.00114,r
2459433.876815,1.00086,0.00113,r
2459433.877072,1.00012,0.00113,r
2459433.877338,0.99671,0.00113,r
2459433.877593,0.99874,0.00113,r
2459433.87786,0.99874,0.00113,r
2459433.878115,0.99858,0.00113,r
2459433.87837,0.99829,0.00113,r
2459433.878637,0.99708,0.00113,r
2459433.878892,0.99873,0.00114,r
2459433.879158,0.99868,0.00114,r
2459433.879414,0.99929,0.00113,r
2459433.87967,1.00064,0.00113,r
2459433.879936,0.99864,0.00113,r
2459433.880191,0.99834,0.00113,r
2459433.880446,1.00127,0.00113,r
2459433.880713,1.00017,0.00113,r
2459433.880968,1.00003,0.00113,r
2459433.881223,0.99899,0.00113,r
2459433.881489,0.99818,0.00113,r
2459433.881744,0.99825,0.00113,r
2459433.881999,0.99849,0.00113,r
2459433.882266,0.99925,0.00113,r
2459433.882521,0.99904,0.00113,r
2459433.882788,1.00038,0.00113,r
2459433.883043,0.99876,0.00113,r
2459433.883299,0.99729,0.00113,r
2459433.883565,0.99748,0.00113,r
2459433.88382,0.99908,0.00114,r
2459433.884075,0.99874,0.00114,r
2459433.884342,0.99865,0.00114,r
2459433.884597,0.999,0.00115,r
2459433.884852,0.99822,0.00114,r
2459433.885118,0.99688,0.00115,r
2459433.885373,0.99881,0.00115,r
2459433.88564,0.99914,0.00114,r
2459433.885895,0.99989,0.00114,r
2459433.88615,0.99677,0.00114,r
2459433.886417,0.99757,0.00114,r
2459433.886672,1.00082,0.00114,r
2459433.886927,1.0009,0.00114,r
2459433.887193,1.00061,0.00114,r
2459433.887448,0.99936,0.00114,r
2459433.887715,0.99898,0.00114,r
2459433.88797,0.99825,0.00114,r
2459433.888225,0.99935,0.00114,r
2459433.888492,1.0004,0.00114,r
2459433.888747,0.9983,0.00115,r
2459433.889013,1.00082,0.00115,r
2459433.889268,1.00045,0.00114,r
2459433.889523,0.9995,0.00114,r
2459433.889778,1.00057,0.00114,r
2459433.890045,1.00097,0.00115,r
2459433.890301,0.99918,0.00114,r
2459433.890556,0.99915,0.00115,r
2459433.890823,0.99946,0.00114,r
2459433.891078,0.99837,0.00114,r
2459433.891333,0.99823,0.00114,r
2459433.891599,1.00049,0.00114,r
2459433.891855,0.99897,0.00114,r
2459433.892109,0.996,0.00113,r
2459433.892376,1.00171,0.00114,r
2459433.892631,0.99864,0.00114,r
2459433.892886,0.99976,0.00114,r
2459433.893153,0.99772,0.00114,r
2459433.893408,1.00011,0.00114,r
2459433.893675,0.99862,0.00114,r
2459433.89393,0.99752,0.00114,r
2459433.894196,0.99826,0.00114,r
2459433.894451,0.99893,0.00114,r
2459433.894706,0.99789,0.00114,r
2459433.894973,0.99778,0.00114,r
2459433.895228,0.99877,0.00114,r
2459433.895483,0.99694,0.00114,r
2459433.89575,0.99605,0.00114,r
2459433.896005,0.99924,0.00114,r
2459433.89626,0.9991,0.00114,r
2459433.896526,0.99864,0.00114,r
2459433.896781,0.99827,0.00114,r
2459433.897036,1.00027,0.00114,r
2459433.897303,0.99818,0.00114,r
2459433.897558,0.99629,0.00114,r
2459433.897813,0.99867,0.00114,r
2459433.89808,0.99727,0.00114,r
2459433.898335,0.99971,0.00114,r
2459433.898601,0.99815,0.00114,r
2459433.898856,0.99886,0.00114,r
2459433.899111,0.9988,0.00114,r
2459433.899378,0.9988,0.00114,r
2459433.899633,0.99921,0.00115,r
2459433.8999,0.99707,0.00114,r
2459433.900156,0.9974,0.00115,r
2459433.900411,0.99644,0.00114,r
2459433.900666,0.99961,0.00115,r
2459433.900933,0.9989,0.00115,r
2459433.901188,1.00012,0.00115,r
2459433.901443,0.99762,0.00115,r
2459433.90171,1.0005,0.00115,r
2459433.901965,0.99906,0.00115,r
2459433.902231,0.99772,0.00115,r
2459433.902486,1.00043,0.00115,r
2459433.902741,0.99775,0.00115,r
2459433.903008,1.00015,0.00115,r
2459433.903263,1.00138,0.00115,r
2459433.903529,1.0001,0.00115,r
2459433.903784,1.00156,0.00115,r
2459433.904052,0.99953,0.00115,r
2459433.90433,0.99867,0.00115,r
2459433.904596,0.99969,0.00115,r
2459433.904852,0.99976,0.00115,r
2459433.905107,1.0017,0.00115,r
2459433.905373,0.99983,0.00115,r
2459433.905628,1.00072,0.00115,r
2459433.905883,1.00145,0.00115,r
2459433.90615,0.99954,0.00114,r
2459433.906405,0.99985,0.00115,r
2459433.90666,0.99886,0.00114,r
2459433.906927,0.99972,0.00115,r
2459433.907182,1.00029,0.00115,r
2459433.907703,0.99952,0.00115,r
2459433.90797,1.0017,0.00115,r
2459433.908225,0.9982,0.00115,r
2459433.90848,0.99963,0.00115,r
2459433.908747,0.99945,0.00115,r
2459433.909002,0.99643,0.00115,r
2459433.909257,0.9995,0.00115,r
2459433.909524,1.00013,0.00115,r
2459433.909779,0.99796,0.00115,r
2459433.910034,0.99853,0.00115,r
2459433.9103,0.99895,0.00115,r
2459433.910556,0.99928,0.00115,r
2459433.910822,1.00049,0.00115,r
2459433.911077,0.99605,0.00114,r
2459433.911332,0.99889,0.00114,r
2459433.911599,0.9975,0.00114,r
2459433.911855,1.0004,0.00115,r
2459433.91211,0.99695,0.00115,r
2459433.912377,0.99719,0.00114,r
2459433.912632,0.99975,0.00115,r
2459433.912887,0.9985,0.00115,r
2459433.913153,0.9992,0.00115,r
2459433.913408,0.99935,0.00115,r
2459433.913663,0.99819,0.00115,r
2459433.913918,0.99984,0.00115,r
2459433.914185,0.99942,0.00115,r
2459433.91444,1.0005,0.00115,r
2459433.914695,0.99844,0.00115,r
2459433.914962,0.99903,0.00115,r
2459433.915217,0.99921,0.00115,r
2459433.915472,1.00062,0.00115,r
2459433.915738,0.99893,0.00115,r
2459433.915993,0.99814,0.00115,r
2459433.916249,0.9996,0.00115,r
2459433.916515,0.99881,0.00115,r
2459433.916771,1.00004,0.00115,r
2459433.917038,0.99724,0.00115,r
2459433.917293,0.99741,0.00115,r
2459433.917548,0.99866,0.00115,r
2459433.917815,1.00098,0.00115,r
2459433.91807,1.00169,0.00116,r
2459433.918325,0.99936,0.00115,r
2459433.918592,0.99932,0.00115,r
2459433.918847,1.00075,0.00115,r
2459433.919102,0.99748,0.00115,r
2459433.919369,0.99874,0.00115,r
2459433.919624,0.99881,0.00115,r
2459433.919891,0.99955,0.00115,r
2459433.920146,0.999,0.00115,r
2459433.920401,1.00274,0.00115,r
2459433.920667,0.99963,0.00116,r
2459433.920923,1.00106,0.00115,r
2459433.921178,0.99795,0.00115,r
2459433.921444,0.99854,0.00115,r
2459433.921699,1.00006,0.00115,r
2459433.921954,1.00033,0.00115,r
2459433.922221,0.99833,0.00115,r
2459433.922476,1.00055,0.00115,r
2459433.922731,0.99868,0.00115,r
2459433.922997,0.99806,0.00115,r
2459433.923252,0.99867,0.00115,r
2459433.923507,1.00089,0.00116,r
2459433.923774,0.99834,0.00116,r
2459433.924029,1.00445,0.00117,r
2459433.924284,1.0012,0.00116,r
2459433.924551,0.99939,0.00116,r
2459433.924806,0.99937,0.00116,r
2459433.925073,1.00013,0.00116,r
2459433.925328,1.00176,0.00116,r
2459433.925583,1.00136,0.00116,r
2459433.925849,0.99833,0.00116,r
2459433.926104,1.00167,0.00116,r
2459433.92636,0.99978,0.00116,r
2459433.926626,1.00117,0.00116,r
2459433.926881,1.0007,0.00116,r
2459433.927159,1.00121,0.00116,r
2459433.927461,1.00099,0.00117,r
2459433.927716,0.99841,0.00116,r
2459433.927971,0.99982,0.00116,r
2459433.928237,1.00018,0.00117,r
2459433.928492,1.00014,0.00116,r
2459433.928747,0.999,0.00116,r
2459433.929014,0.99886,0.00116,r
2459433.929269,0.99954,0.00116,r
2459433.929536,0.99945,0.00117,r
2459433.929791,0.99845,0.00116,r
2459433.930046,1.00092,0.00117,r
2459433.930313,0.9995,0.00116,r
2459433.930568,0.99988,0.00116,r
2459433.930823,0.99871,0.00116,r
2459433.931089,1.00093,0.00117,r
2459433.931344,1.00101,0.00117,r
2459433.931599,1.00019,0.00117,r
2459433.931901,1.0017,0.00117,r
2459433.932167,1.00152,0.00117,r
