dr3_source_id,ra_EDR3,dec_EDR3,parallax_EDR3,ruwe_EDR3,weight,v_l,v_b,x_pc,y_pc,z_pc,(BP-RP)0,(M_G)0,cluster,Prot_Adopted,Prot_TESS,Prot_ZTF,Prot_Confused
2082395037844861824,303.1406,45.6738,2.8706,1.083,0.4643,5.6806,-3.5697,-8071.73,342.56,59.21,3.02,9.698,RSG-5,,,,0
2081669974342252160,304.2663,45.4339,2.9257,0.946,0.59665,5.0567,-3.282,-8073.99,336.8,53.8,3.022,10.537,RSG-5,,,,0
2081588683503568768,303.5654,44.9564,3.0419,1.077,0.40112,4.816,-3.8606,-8072.02,323.29,53.38,3.031,10.224,RSG-5,,,,0
2082662833339303680,301.9822,46.3768,3.0556,0.985,0.31852,4.4291,-3.6534,-8075.78,321.24,62.88,3.043,9.782,RSG-5,,,,0
2081641838019627904,303.7366,45.5387,3.045,0.983,0.43009,5.3049,-3.314,-8075.22,323.3,54.61,3.071,10.642,RSG-5,,,,0
2075577928314669312,299.2844,43.1039,2.8082,0.986,0.15795,4.3364,-3.4985,-8048.5,345.48,66.14,3.08,10.901,RSG-5,,,,0
2082416233501351552,303.2832,45.9641,3.0278,1.073,0.47422,5.355,-3.1833,-8076.04,324.98,57.65,3.084,11.531,RSG-5,,,,0
2074812732637849088,301.7631,41.9062,3.0433,1.044,0.12805,5.877,-3.9702,-8053.54,320.04,50.19,3.089,11.028,RSG-5,,,,0
2081727939216919936,304.2214,45.6497,3.0565,0.931,0.40253,4.9984,-3.1225,-8076.97,322.43,53.22,3.094,11.19,RSG-5,,,,0
2081219793046352512,303.1472,44.766,2.8647,0.964,0.34554,5.0591,-3.3159,-8067.01,342.89,56.27,3.096,10.612,RSG-5,,,,0
2082044254970360576,302.3881,45.2528,3.0045,0.937,0.45632,4.7675,-3.61,-8070.32,326.6,58.75,3.098,9.976,RSG-5,,,,0
2081206564546899072,303.2423,44.6685,3.015,1.036,0.42919,4.754,-3.5306,-8069.48,325.82,53.87,3.108,10.937,RSG-5,,,,0
2075929943835165824,300.2195,43.5073,2.915,0.925,0.21161,4.0455,-3.2298,-8055.22,333.94,62.25,3.113,10.077,RSG-5,,,,0
2081735326561391744,304.0385,45.87,2.911,0.915,0.63642,5.5109,-3.6487,-8075.4,338.51,56.2,3.139,10.549,RSG-5,,,,0
2082426064689235968,302.5087,45.6283,2.9128,0.97,0.50018,5.2108,-3.2379,-8070.85,337.13,60.72,3.144,10.968,RSG-5,,,,0
2081744912932494720,303.7017,45.9799,2.9528,1.117,0.65696,5.6837,-3.4679,-8075.87,333.53,57.21,3.152,11.283,RSG-5,,,,0
2082412041608924928,303.0371,45.8983,2.8263,1.022,0.30745,5.2296,-3.7164,-8071.87,347.94,60.94,3.159,11.371,RSG-5,,,,0
2082415924262577664,303.2201,45.924,2.9792,1.012,0.54494,5.4528,-3.3043,-8074.96,330.22,58.34,3.166,10.818,RSG-5,,,,0
2081164611308289024,303.0615,44.0463,2.9012,1.005,0.32026,4.7984,-3.9265,-8063.89,338.16,53.78,3.185,10.8,RSG-5,,,,0
2081568200796644096,303.8546,45.0821,2.9924,1.005,0.48944,4.7,-3.3406,-8072.44,328.88,53.34,3.187,11.658,RSG-5,,,,0
2082533984319323520,303.715,46.4128,2.8841,0.992,0.47062,5.6336,-3.8754,-8076.99,341.62,59.46,3.189,10.995,RSG-5,,,,0
2082503335437613568,303.6479,46.1196,2.9217,1.108,0.47192,4.5108,-3.4967,-8075.95,337.08,58.24,3.232,12.047,RSG-5,5.147,,5.147,0
2081567204363714688,303.8934,45.0529,2.9554,1.094,0.57497,4.8554,-3.384,-8071.76,333.02,53.51,3.233,11.161,RSG-5,,,,0
2081039713660342912,302.1442,43.4982,2.8386,1.003,0.23839,4.858,-3.5882,-8057.68,344.57,56.1,3.244,10.833,RSG-5,,,,0
2081880084138335744,301.3061,44.2227,3.0269,1.035,0.24363,4.1214,-3.9358,-8063.43,322.89,59.04,3.251,11.995,RSG-5,,,,0
2081996838531230976,302.4291,45.1814,2.8651,1.018,0.36278,5.0452,-3.4183,-8067.53,342.5,60.22,3.257,10.571,RSG-5,,,,0
