dr2_source_id,dr3_source_id,kepid,ra_EDR3,dec_EDR3,weight,v_l,v_b,x_pc,y_pc,z_pc,kic_dr2_ang_dist,edr3_dr2_mag_diff
2079721742816443008,2079721742816443008,8766982,296.6551,44.9647,0.09357,5.2491,-1.9098,-8060.67,306.17,75.18,0.079,-0.007
2125856361663343232,2125856361663343232,7448057,292.7672,43.0986,0.03034,6.373,-3.3507,-8037.48,330.84,90.18,0.084,-0.031
2126234520642176640,2126234520642176640,8429170,291.2194,44.4715,0.1156,1.4308,-3.9957,-8046.46,312.95,95.67,0.019,-0.013
2126351588572776064,2126351588572776064,8234825,292.3651,44.1123,0.02367,6.4898,0.7903,-8058.9,262.06,79.07,0.017,-0.015
2126363408322823936,2126363408322823936,8366870,292.3174,44.3339,0.03794,3.963,-9.0043,-8053.14,290.17,85.97,0.015,-0.013
2125710985610039808,2125710985610039808,6780052,292.6289,42.2246,0.03043,1.5759,-6.6959,-8049.49,267.34,75.56,0.01,-0.015
2125788428159994368,2125788428159994368,7032968,291.5863,42.5099,0.03958,-1.3446,0.3487,-8041.19,296.15,86.05,0.067,-0.005
2126145052183993344,2126145052183993344,8027456,291.316,43.8593,0.11828,1.902,-3.1442,-8046.94,298.66,90.57,0.022,0.006
2126169993053537024,2126169993053537024,8233504,291.8579,44.1653,0.09682,1.2301,-5.485,-8044.94,317.27,93.47,0.045,-0.004
2100663595331153920,2100663595331153920,4819564,286.3555,39.9181,0.10527,-1.2132,-3.5851,-7997.69,353.54,117.63,0.125,-0.022
2100218568000743680,2100218568000743680,4136285,284.8012,39.2173,0.04453,-1.1927,0.4286,-8017.95,277.88,102.04,0.02,0.011
2100711046130108544,2100711046130108544,5171232,286.5129,40.3596,0.34058,-0.9982,-3.2022,-8009.98,327.09,110.55,0.053,-0.011
2101088900175248000,2101088900175248000,4649635,290.1933,39.758,0.04424,4.0145,-3.7127,-8012.22,332.71,93.62,0.042,-0.01
2101092091333095936,2101092091333095936,4649476,290.1496,39.7838,0.06724,2.393,-1.905,-8015.91,321.71,91.46,0.028,0.008
2100727882401602944,2100727882401602944,4994506,286.0319,40.1417,0.29513,-0.8695,-3.6269,-8005.22,334.18,114.35,0.054,-0.005
2099866243243441152,2099866243243441152,2831943,285.79,38.0279,0.06498,1.8899,-0.8282,-7991.34,334.41,111.2,0.086,-0.016
2100302680639307904,2100302680639307904,4137413,285.1495,39.2978,0.32411,-0.7555,-2.1226,-8005.64,313.86,111.08,0.535,-0.029
2101462562329928704,2101462562329928704,5869314,289.5467,41.1801,0.03079,4.9909,-1.5872,-8030.17,297.33,91.48,0.048,-0.016
2101469021961212544,2101469021961212544,6117832,289.9893,41.4367,0.05208,2.577,-3.6397,-8017.45,346.75,101.79,0.089,-0.018
2100344462081547904,2100344462081547904,4636938,285.5923,39.7915,0.18631,0.5011,-0.9781,-8006.48,322.05,112.31,0.078,-0.001
2099929151623465728,2099929151623465728,3096453,285.3642,38.2814,0.07285,-0.9969,-5.8489,-7983.91,355.3,119.67,0.057,-0.005
2099934339943954176,2099934339943954176,3215845,285.2883,38.396,0.27736,-2.976,-4.4379,-8000.97,312.74,108.4,0.017,-0.009
2100367757983349760,2100367757983349760,3631048,286.8129,38.7879,0.311,-1.3347,-4.5721,-8002.43,323.39,104.89,0.049,-0.023
2100375523284267648,2100375523284267648,3836772,287.0685,38.9451,0.2504,-2.6577,-2.6244,-8005.15,319.99,103.15,0.034,-0.009
2099956678074032512,2099956678074032512,3218637,286.382,38.3354,0.21245,-2.436,-3.1397,-8005.48,305.79,101.36,0.039,0.0
2101503175541042048,2101503175541042048,5360976,291.3547,40.53,0.06186,2.9281,-5.9789,-8035.95,278.75,79.0,0.098,-0.017
2100395035319632256,2100395035319632256,4142137,286.9893,39.2128,0.38471,-1.5382,-3.9106,-8006.28,320.81,104.28,0.136,-0.02
2100010519784766080,2100010519784766080,3731563,286.4259,38.8571,0.1862,-1.7466,-3.4609,-7993.03,347.68,113.33,0.048,0.005
2100458330254475136,2100458330254475136,4448737,286.4503,39.5092,0.31808,-1.6731,-3.8536,-8002.06,334.43,111.07,0.068,0.005
2100907648256384896,2100907648256384896,6028942,286.9592,41.3721,0.04556,-6.695,-2.7934,-8013.91,336.52,113.18,0.076,-0.008
2101219742057611264,2101219742057611264,4646159,289.1773,39.7003,0.06547,1.6295,-1.8534,-8024.42,288.98,87.98,0.046,-0.006
2100028249409425664,2100028249409425664,3527862,285.9463,38.6602,0.27002,-2.5889,-4.2449,-8003.62,313.38,106.02,0.059,0.002
2100049857384809344,2100049857384809344,3629496,286.2041,38.7426,0.24338,-2.1301,-2.951,-8007.37,306.07,103.03,0.09,0.008
2100052262566491904,2100052262566491904,3731157,286.2717,38.8398,0.0323,1.2763,2.3273,-8004.61,315.32,105.4,0.066,-0.005
2101570417549452032,2101570417549452032,5702239,290.7317,40.9248,0.1238,-0.1851,-4.6144,-8022.82,324.3,92.14,0.041,-0.005
2101676378683891584,2101676378683891584,6365076,292.1606,41.7432,0.09068,0.618,-4.9511,-8029.19,328.6,88.9,0.041,0.002
2101285575317012352,2101285575317012352,4825003,288.546,39.9649,0.25989,-0.4564,-3.7955,-8012.14,326.03,100.06,0.112,-0.012
2100120986342958720,2100120986342958720,3322943,285.1746,38.4277,0.07464,-3.9685,-5.8465,-8013.86,279.33,99.58,0.025,-0.016
2100137238499702016,2100137238499702016,3728906,285.3008,38.8238,0.06729,-3.9896,-3.5877,-8020.5,267.96,96.51,0.042,-0.005
2100574397451768320,2100574397451768320,5262561,287.7839,40.4159,0.21286,-0.1243,-2.9585,-8011.09,332.48,106.18,0.019,-0.018
2101309592774323584,2101309592774323584,5176547,288.6236,40.3972,0.20784,-0.2939,-3.629,-8012.49,333.23,102.43,0.098,0.004
2100996536898063232,2100996536898063232,4555662,289.9299,39.6632,0.04243,-5.991,-5.1923,-8005.15,350.49,98.54,0.017,-0.008
2100154452728605312,2100154452728605312,3831911,285.0551,38.985,0.20175,-1.4557,-4.6317,-8008.76,300.15,107.0,0.063,-0.014
2101008704545730560,2101008704545730560,4149670,289.498,39.2986,0.07196,-2.6453,-2.3453,-8023.13,288.43,85.76,0.038,-0.007
2100633358763030784,2100633358763030784,5435597,287.5438,40.6505,0.14035,0.6471,-1.7818,-8023.8,296.84,98.48,0.078,0.008
2100206365995549056,2100206365995549056,4036736,284.9697,39.1389,0.27458,-0.8815,-2.0287,-8001.88,320.42,113.52,0.135,-0.012
2101037085690140544,2101037085690140544,4458172,289.7706,39.5786,0.04049,-6.5296,-4.2684,-8018.61,307.76,89.56,0.038,0.009
2101037257488816640,2101037257488816640,4458109,289.7563,39.5764,0.06397,-5.5743,-3.7288,-8016.5,313.91,90.99,0.13,0.001
2128121286897010432,2128121286897010432,9655045,294.2125,46.3567,0.16889,3.2209,-2.8322,-8066.89,286.47,83.02,0.063,0.04
2126835614205717760,2126835614207308800,7955782,290.3482,43.7714,0.03847,2.3151,-0.7503,-8035.55,334.38,102.82,0.027,0.001
2128171830072037632,2128171830072037632,9715163,293.8744,46.4283,0.06278,3.7712,-7.7997,-8067.26,283.42,83.63,0.154,0.011
2126860108399441024,2126860112700786432,8024987,290.4886,43.8167,0.03677,-0.2572,-6.8321,-8052.07,272.17,87.16,0.077,-0.012
2127785313075229184,2127785313075229184,9945771,289.3614,46.8924,0.13343,3.014,-2.6858,-8066.69,263.44,94.33,0.03,-0.001
2127789990298259840,2127789990298259840,10068906,289.2573,47.0277,0.02048,0.2119,1.3578,-8060.55,295.2,103.84,0.029,-0.017
2127336166873534208,2127336166873534208,9273730,288.5894,45.7206,0.06471,0.634,-4.7158,-8048.67,312.83,108.7,0.044,-0.006
2128208972950146816,2128208972950146816,10017419,294.2079,46.967,0.04366,5.8498,-1.2892,-8061.46,332.03,94.5,0.043,-0.01
2127356129881815168,2127356129881815168,9397901,289.044,45.9639,0.07668,0.8707,-4.9558,-8057.23,284.4,99.54,0.067,-0.012
2128286694677360512,2128286694677360512,9772586,292.6807,46.501,0.10888,1.2382,-1.8577,-8062.9,297.45,91.09,0.039,0.008
2127002533814133248,2127002533814133248,8621969,290.7677,44.7274,0.03003,-4.0954,-1.1938,-8044.2,324.72,100.92,0.091,-0.012
2127002602533604736,2127002602533604736,8621939,290.7606,44.7267,0.03939,-3.6701,-2.1514,-8043.8,326.29,101.33,0.05,-0.004
2127073005637981440,2127073005637981440,8881126,290.2013,45.1327,0.07336,4.4931,-4.5681,-8050.36,303.79,98.77,0.073,-0.018
