dr3_source_id,ra_EDR3,dec_EDR3,parallax_EDR3,ruwe_EDR3,weight,v_l,v_b,x_pc,y_pc,z_pc,(BP-RP)0,(M_G)0,cluster,Prot_Adopted,Prot_TESS,Prot_ZTF,Prot_Confused
2082513991257567872,303.30741,46.20479,2.9254,0.945,0.592,5.2,-3.49,-8075.7,336.5,59.6,2.465,8.842,RSG-5,2.411,,2.411,0
2082410808964716928,302.87275,45.82349,3.0175,0.948,0.436,5.36,-2.99,-8074.3,325.8,58.7,2.476,8.957,RSG-5,3.461,3.461,,0
2081120016662804864,303.23989,44.13416,2.9479,0.951,0.395,5.11,-3.41,-8065.6,333.0,52.9,2.566,9.031,RSG-5,29.442,,29.442,0
2081689872933420032,304.64426,45.66709,2.9112,1.025,0.468,5.91,-3.55,-8075.8,338.8,53.4,2.568,9.113,RSG-5,1.44,,1.44,0
2081729730230713984,304.28006,45.73602,2.9366,0.945,0.555,5.39,-3.77,-8075.7,335.7,54.6,2.579,9.163,RSG-5,,,,0
2081568239458574336,303.8519,45.10149,2.9211,1.067,0.619,5.41,-3.42,-8071.3,336.9,54.2,2.607,9.154,RSG-5,1.983,,1.983,0
2081688395464645248,304.68927,45.56132,3.0109,1.001,0.487,5.48,-3.9,-8076.9,327.6,51.9,2.65,9.314,RSG-5,,,,0
2081612219924301184,303.24708,45.28477,2.9713,0.986,0.631,5.13,-3.21,-8071.7,330.9,56.3,2.662,9.507,RSG-5,,,,0
2076069753608680576,300.77289,44.27447,2.8609,0.974,0.208,4.45,-2.6,-8059.1,341.2,63.4,2.663,9.099,RSG-5,1.636,1.636,1.636,0
2075855108320328192,301.35044,43.80965,3.0309,1.116,0.222,4.05,-2.75,-8061.6,322.3,57.6,2.668,12.852,RSG-5,,,,0
2075502371252387968,299.92827,42.58102,2.9426,1.152,0.176,3.69,-2.67,-8050.6,329.9,60.1,2.682,9.173,RSG-5,3.921,3.921,,0
2081705747132445952,304.39773,45.74441,2.9475,0.955,0.531,5.62,-3.09,-8076.2,334.5,54.1,2.687,9.302,RSG-5,,,,0
2081630872956081920,303.48212,45.21888,3.051,0.972,0.419,4.92,-3.21,-8073.2,322.4,54.4,2.692,9.39,RSG-5,,,,0
2081453542347988992,305.08574,45.12104,3.0224,0.969,0.362,4.82,-2.91,-8075.8,326.4,49.0,2.704,9.388,RSG-5,,,,0
2080730617755600128,303.73437,42.84983,2.8259,0.955,0.218,3.96,-3.18,-8057.8,346.9,48.1,2.723,9.638,RSG-5,0.795,,0.795,0
2081966640625918336,302.71472,44.73438,3.0002,1.113,0.398,4.7,-3.22,-8068.4,327.1,56.1,2.73,9.007,RSG-5,15.519,,15.519,0
2085241153745633024,299.50427,45.63907,2.8341,1.03,0.15,3.7,-3.6,-8063.0,344.0,72.8,2.732,9.538,RSG-5,,,,0
2081547378793603200,304.05309,44.75345,2.9685,0.955,0.46,4.71,-3.16,-8070.9,331.5,51.8,2.737,9.409,RSG-5,,,,0
2081211619735232384,303.03804,44.62202,3.024,1.004,0.343,4.76,-2.88,-8069.0,324.7,54.3,2.739,9.53,RSG-5,1.648,,1.648,0
2081740033848644096,303.85325,45.80704,3.0029,1.013,0.575,4.95,-3.83,-8076.1,328.0,55.5,2.76,9.885,RSG-5,,,,0
