source_id,solution_id,designation,source_id_2,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,dr2_rv_template_fe_h,l,b,ecl_lon,ecl_lat,x_pc,y_pc,z_pc,delta_r_pc,delta_ra,delta_dec,delta_parallax,delta_pmra,delta_pmra_km_s,delta_pmra_prime_km_s,delta_pmdec,delta_pmdec_km_s,delta_pmdec_prime_km_s,delta_x_pc,delta_y_pc,delta_z_pc,delta_mu_km_s,delta_mu_prime_km_s
2090901031589779200,1636042515805110273,Gaia EDR3 2090901031589779200,2090901031589779200,1651463176,2016.0,279.4574284605751,0.015847426,32.38469567400877,0.017859196,2.782161312954468,0.021336956,130.39166,2.9989676,-0.2182501194332001,0.020869603,-2.9910156235250787,0.02084916,0.04284794,-0.100224085,0.032281365,-0.051240586,-0.057452474,-0.06855535,-0.20941745,-0.10811757,-0.14788532,0.053218815,346,0,346,0,5.8482330000000005,515.67645,0.09649673,3.3243150000000004,31,False,1.4138110000000002,,,,,,,,40,26,0.030035874,44,19,0,0.0074382853,174.03108,0,0,1.2310537,0.258399,0.08768895,0.20027253,0.19796686,-78.4136,-77.89321,-42.519264,38.137240000000006,False,353,27864.105569260053,41.5698,670.2968,14.574754,43,10535.640641142814,60.227196,174.93161,15.281889999999999,42,25911.570052750587,164.51433,157.50342,13.714160999999999,0.0,23.0,0.0,22.0,0.0,1.3080344,1.5677290000000002,0.70713615,0.86059284,,,0,,,,61.22816155770045,16.787634516863605,284.1298979646705,55.36103281522068,-7956.077787461204,301.63092867770615,124.18940763876327,65.47163101822873,-4.599239377168146,-9.19203184834155,-0.22651322409403596,-1.9339059268287513,-3.2951446354662957,-2.1748881008582757,-1.6758146658442266,-2.855387963595257,-0.4799100434503886,65.0174573343229,-0.25866163417219923,7.694010925752508,4.36018561431586,2.2272071976040917
2041793303241783424,1636042515805110273,Gaia EDR3 2041793303241783424,2041793303241783424,1322158836,2016.0,282.84793518959475,0.031886662999999996,30.914229638046397,0.039355736,2.5690269303526403,0.04493819,57.168009999999995,3.5484736000000003,0.5916061539159059,0.046443455,-3.4988094342550484,0.049581815,-0.027454283,-0.037934157999999996,-0.08192395,-0.04625515,0.068237886,-0.09326296,-0.32097784,-0.20525184,-0.016953884,0.09525231,425,0,424,1,0.6169595999999999,455.86902000000003,0.016157903,0.015450191,31,False,1.2941406000000002,,,,,,,,50,27,0.07175921,57,26,0,0.0037029259999999996,8.873024000000001,0,0,1.0205870000000001,0.1513125,0.12932391,0.11677231,0.24457557,-87.93605,75.93951,-27.666676000000002,37.24477,False,434,4227.728939886936,4.59368,920.336,16.622099,48,968.8560236700032,8.371331,115.735,17.872894,49,4975.32396960469,13.657334,364.29684,15.505842000000001,0.0,3.0,0.0,1.0,0.0,1.4059983,2.367052,1.2507954,1.1162566999999999,,,0,,,,60.98307717748322,13.557288672319338,288.71682798256353,53.52188908707759,-7938.187372995992,330.9071358187541,111.57795942784128,87.97678297724556,-1.208732648148498,-10.66249788430392,-0.43964760669586367,-1.1240496534796454,-2.074141037180069,-1.3764097376285616,-2.1836084765741965,-4.02928103431759,-1.3578229279546945,82.90787179953531,29.017545506875763,-4.917437285169484,4.531795085352584,1.9334391300266438
2091993258954237696,1636042515805110273,Gaia EDR3 2091993258954237696,2091993258954237696,1544502459,2016.0,283.74934932818513,0.065864645,33.237897739111496,0.07941328,2.4738075521696,0.08747871,28.278966999999998,2.8471493999999997,0.7387425506378443,0.08780242,-2.7496398927261825,0.10286857,-0.057291087000000004,-0.032007053,-0.057054445,-0.022638343,0.07288338,-0.051234155999999996,-0.26369533,-0.14643075,-0.034340712999999995,-0.035615977,455,0,455,0,-2.9942272,477.41695999999996,0.0,0.0,95,False,,1.1764666000000001,0.022236852,-0.048971802,0.14011614,-0.03186135,-0.08579161,-0.08721443,53,29,0.14444876,55,23,0,0.0063193734,168.7294,1,0,0.9010471,0.25066537,0.17667162,0.17466947,0.14374311,-112.93033,76.243484,-14.072857,-39.802963,False,450,1121.3726144765176,1.4449326999999998,776.0726,18.062992,49,167.45953930891204,8.589071,19.496814999999998,19.778767000000002,48,1534.276019009803,9.580936999999999,160.1384,16.783136,0.0,2.0,0.0,2.0,0.0,1.5175469,2.9956303,1.7157745,1.2798557,,,0,,,,63.48892217638483,13.790446763263915,290.65405773379126,55.695593876255096,-7946.489549202264,351.30158262175695,116.7098292788823,89.48519866609999,-0.30731850955811524,-8.338829783238822,-0.5348669848789038,-0.9769132567577069,-1.872024537653519,-1.2278925098165059,-1.4344389350453304,-2.7487649139727535,-0.8046269507407495,74.60569559326268,49.4119923098786,0.21443256587153314,3.3256855566731667,1.4680410571648992
2093575486244020864,1636042515805110273,Gaia EDR3 2093575486244020864,2093575486244020864,1164667635,2016.0,282.27853488370016,0.06226280000000001,36.74469276677163,0.06842834,2.826290292009871,0.07524469,37.561325,3.0862756,0.8629325432539787,0.08879841,-2.9631814521542053,0.086322516,-0.18900155,-0.017146401000000002,-0.25444612,0.119442366,0.14084406,0.12625583,-0.25326675,-2.205274e-05,-0.16103417,-0.10943912,331,0,329,2,-0.19981924,339.3466,0.0,0.0,31,False,1.2444028,,,,,,,,39,24,0.13066097,43,20,0,0.004898986,94.34642,0,0,0.9911346999999999,0.12121866,0.167708,0.050201565,0.13725902,-62.39979,63.23356,-15.037528,37.36806,False,328,1851.9132504009394,3.3044089999999997,560.4371,17.518314,36,282.86989178823916,8.169188499999999,34.62644,19.209576000000002,35,2450.426200403433,13.380699,183.13141000000002,16.274792,0.0,1.0,0.0,4.0,0.0,1.4759308999999998,2.934784,1.6912613,1.2435226000000001,,,0,,,,66.35145556294621,16.2615963549395,289.53091136308683,59.354246666019925,-7985.471553006653,311.14118483919935,119.52944584750406,36.93027040406203,-1.7781329540430875,-4.8320347555786896,-0.18238424503863282,-0.8527232641415725,-1.4302527446167768,-0.9095409889881535,-1.6479804944733532,-2.7641190576267696,-1.5454610243257925,35.62369178887366,9.251594527321004,3.0340491344933014,3.1122302418393346,1.7932413636651583
4578481729342136448,1636042515805110273,Gaia EDR3 4578481729342136448,4578481729342136448,425148055,2016.0,274.4316491112659,0.015189418,23.571990276694184,0.02159572,2.6208575631094266,0.027881522000000002,93.9998,5.826105,-0.24471902822446226,0.020548366000000002,-5.820963178961325,0.027137303999999998,0.024144135,-0.019223653,0.09607208,-0.07965479,0.038581587,-0.13424909,-0.24029277,-0.117693916,0.031186849,0.16050664,632,0,629,3,-1.4036965000000001,593.3633,0.0,0.0,31,False,1.3396384,,,,,,,,73,29,0.03866738,75,27,0,0.019031921,38.8818,0,0,0.96000296,0.29407755,0.30692579999999997,0.08291812,0.19897899,-97.51332,-88.59249,26.643393,21.192179,False,625,10291.513713904333,8.250974000000001,1247.309,15.656169,69,2916.541785284166,13.780909,211.6364,16.676373,69,11078.110921633235,26.659717999999998,415.53745,14.636731,0.0,36.0,0.0,37.0,0.0,1.3598245,2.0396414000000003,1.0202036,1.0194378000000002,,,0,,,,50.93541174519756,17.57200155611348,275.951692622254,46.919754289705665,-7892.444896868177,282.4286599725561,135.4061566987061,131.48101260157932,-9.625018726477322,-18.004737245656134,-0.3878169739390773,-1.9603748356200135,-3.5458237549869893,-1.2489249898610482,-4.505762221280473,-8.149787697864559,-3.5141600156009347,128.65034792734969,-19.46093033932226,18.910759985695336,8.887739061296442,3.72949517301575
4585098251020981888,1636042515805110273,Gaia EDR3 4585098251020981888,4585098251020981888,1239034802,2016.0,275.92459132815657,0.034590732,26.254014628805127,0.044647716,2.5547355013271025,0.054297358,47.050827000000005,5.1307735,0.3086262255772221,0.044235017,-5.121482844491295,0.054325957,0.033739023,-0.04774223599999999,-0.030250344,-0.051205188,-0.024549268,-0.061221517999999996,-0.17438808,-0.06982884,0.010741145,0.10428917,563,0,562,1,-0.36272752,570.75366,0.0,0.0,31,False,1.3224853,,,,,,,,65,30,0.0764886,67,26,0,0.0048239473,0.8151154,0,0,0.9885558000000001,0.26762605,0.22068891,0.05661469,0.19826405,-101.889465,89.06958,-49.94338,28.87282,False,543,2563.762526497841,1.5695566,1633.431,17.165173,60,673.128003998897,7.4306827,90.58764000000001,18.268297,59,2783.623090490974,7.825147,355.7279,16.13637,0.0,1.0,0.0,1.0,0.0,1.3483118,2.1319275,1.1031246000000001,1.0288029,,,0,,,,54.07562004480645,17.34221492645052,278.1989874234639,49.52481081225064,-7902.456540179976,302.5672023813278,136.9157187089591,120.38517741562175,-8.132076509586682,-15.32271289354519,-0.4539390357214015,-1.4070295818183292,-2.6108308161305263,-0.5306938264102676,-3.806281886810443,-7.062792547774061,-3.21129059756485,118.63870461555052,0.6776120694494239,20.420321995948342,7.529905452484088,3.2548461160857336
4536657101599321344,1636042515805110273,Gaia EDR3 4536657101599321344,4536657101599321344,675663527,2016.0,276.1488220715942,0.04182788,24.90055009660809,0.059823352999999996,3.1329583674152093,0.07303901,42.894318,6.149673,-0.09934130112585436,0.056408565,-6.148870393188138,0.075111985,0.04698287,0.0061191074,-0.07719095,-0.052563254000000004,-0.05579221,-0.069765404,-0.30418740000000005,-0.07941260000000001,0.18149222,0.079465866,607,0,604,3,1.4399371,768.0954,0.33273990000000003,3.3995721,95,False,,1.2703701,0.014464619,-0.051887665,0.01111999,0.029863616000000003,-0.072797686,-0.10417368,70,28,0.106965095,71,71,0,0.007119063,64.14434,0,0,1.0413594000000002,0.32045898,0.29323265,0.019387847,0.17762971,-95.64585,-89.14827,-30.090513,28.460946999999997,False,592,2020.4794220171289,1.4606848,1383.2412,17.42373,63,440.5853826852032,8.806295,50.03073,18.728468,63,2510.4922561521585,6.845571499999999,366.7323,16.248499,0.0,3.0,0.0,5.0,0.0,1.4605829,2.479969,1.3047371,1.1752319,,,0,,,,52.84875077257097,16.637864078217348,278.37497115494585,48.16122731697109,-7937.0463225504855,243.75484049541288,111.71750296973164,102.30688508305845,-7.907845766149023,-16.676177425742228,0.12428383036670532,-1.8149971085214056,-2.746267002405997,-1.2982416701045776,-4.833669435507286,-7.313811580717197,-2.638566607010015,84.04892224504147,-58.13474981646547,-4.777893743279122,7.812414625884689,2.9406572689832906
2093901427022722048,1636042515805110273,Gaia EDR3 2093901427022722048,2093901427022722048,630788025,2016.0,283.5090772236033,0.055771075,36.637619441389646,0.059436525999999996,2.8891020792856708,0.06670434,43.312057,3.5638389999999998,1.458843487013594,0.06957578,-3.2515725408397147,0.076175906,-0.026233927999999997,-0.08237237,0.012272058,-0.025776532,0.12582100000000002,-0.048023533,-0.19126895,-0.07716797,-0.049090423,0.03888328,402,0,400,2,-0.91373634,395.76822000000004,0.0,0.0,31,False,1.2392063999999998,,,,,,,,47,29,0.10663331,50,19,0,0.009482691,135.64018000000002,1,0,0.96683294,0.18680476,0.03696037,0.10539115,0.20484836,-102.20286999999999,69.85777,15.388795000000002,41.544129999999996,False,390,1821.2883901149255,2.4187182999999997,752.9973,17.53642,47,281.4929388004718,8.478511,33.200752,19.214874,46,2394.161105961042,10.417247999999999,229.82664,16.300013,0.0,3.0,0.0,1.0,0.0,1.4690996,2.9148617000000003,1.6784534,1.2364082,,,0,,,,66.63850303114921,15.308289193797693,291.3934307560258,59.07767333093094,-7989.358780644722,306.4787856420015,111.84354909807328,32.402215307073355,-0.5475906141399491,-4.939108080960672,-0.1195724577628332,-0.2568123203819572,-0.4213804794821012,-0.2031273309702926,-1.9363715831588626,-3.1772197881839737,-1.8479732381647385,31.73646415080475,4.589195330123175,-4.651847614937481,3.205040887557658,1.859103494042272
2093040371977483648,1636042515805110273,Gaia EDR3 2093040371977483648,2093040371977483648,749352362,2016.0,285.4440040177008,0.059342745999999995,36.87272174340949,0.06943636,2.639442818197204,0.07600852,34.725615999999995,3.6215248,1.1285437254139845,0.07578857,-3.441196196224137,0.08790626,-0.008401858,0.13133208,-0.032999843,0.010905927,0.13053165,-0.00030270152000000004,-0.31249443,-0.13903692,-0.027088517000000003,-0.04637072,362,0,362,0,-1.1273464,474.35677999999996,0.32812790000000003,2.6159089,95,False,,1.1880696000000002,0.019614434,-0.11942845,-0.011213444,-0.0847062,-0.020791033,-0.035015456,42,27,0.12445617,47,21,0,0.012770365,82.26553,4,2,0.9571269,0.20590638,0.10642209,0.10104292,0.17255093,-106.21911999999999,76.478806,-30.43396,41.672867,False,369,1978.0978755785086,5.8252096,339.5754,17.446747,19,713.7531763436957,50.011845,14.271683,18.204672,21,3283.4975348439098,67.10895,48.927864,15.957054000000001,0.0,19.0,0.0,21.0,0.0,2.0207547999999997,2.2476177,0.75792503,1.4896927,,,0,,,,67.4918470290095,13.975297155002947,294.43892100577665,59.00865353761328,-7980.996181973653,339.6471106100519,111.93788554303856,55.26604822424004,1.3873361799575719,-4.704005778940825,-0.3692317188512999,-0.5871120819815667,-1.0544602308596944,-0.9446881256983789,-2.125995238543285,-3.818312548559251,-2.7044138071623487,40.09906282187421,37.757520298173574,-4.5575111699722015,3.961236814045548,2.864662230561548
2041998121642224896,1636042515805110273,Gaia EDR3 2041998121642224896,2041998121642224896,96723956,2016.0,285.2045610578652,0.024482856,31.21080877951794,0.028611057000000002,2.2953673695723333,0.034253545,67.01108599999999,4.2926593,2.151449266838145,0.034178145,-3.714591225358264,0.037955366000000004,-0.07941106,0.07528639999999999,0.059386514,-0.08035828,0.029203799,-0.089846425,-0.08194518,-0.076294266,-0.14899576,0.020749161000000002,400,0,399,1,1.6518419999999998,457.57735999999994,0.0,0.0,31,False,1.3746892,,,,,,,,47,26,0.052797552000000005,51,20,0,0.03030143,172.3332,0,0,1.0585555,0.21472861,0.19475253,0.09819613,0.21547103,-65.92384,73.45589,-26.233458000000002,-38.180415999999994,False,417,7248.235992687685,3.314459,2186.8533,16.036785000000002,46,2397.244353531995,9.040566,265.16528,16.889260999999998,45,7107.7655652337235,16.676277,426.22015,15.118563,0.0,2.0,0.0,2.0,0.0,1.3113549,1.7706985,0.8524761000000001,0.9182224,,,0,,,,62.108770083103494,11.837675721236474,292.147178432955,53.487320497259205,-7922.2798010965425,376.86330715015197,109.66089682026916,124.22664979285511,1.1478932201219436,-10.365918742832378,-0.7133071674761706,0.4357934594425936,0.9000154180433174,1.5178796286993577,-2.399390267677412,-4.9553020772153635,-2.598972790149265,98.81544369898438,74.97371683827362,-6.834499892741604,5.0363723481460925,3.009753832318643
