module,output,row,column,ra,dec
10,2,1038,17,292.8602,38.8357
10,2,1038,1106,291.5553,38.1990
10,3,25,17,293.6649,37.7991
10,3,25,1106,292.3723,37.1711
10,3,535,550,292.6573,37.9735
10,3,1038,17,292.9255,38.7554
10,3,1038,1106,291.6215,38.1194
10,4,25,17,291.0881,36.5233
10,4,25,1106,292.3594,37.1647
10,4,535,550,291.3293,37.3143
10,4,1038,17,290.3274,37.4626
10,4,1038,1106,291.6085,38.1129
11,1,25,17,288.4426,48.9568
11,1,25,1106,286.9550,48.2647
11,1,535,550,287.2155,49.0803
11,1,1038,17,287.4590,49.8743
11,1,1038,1106,285.9568,49.1696
11,2,25,17,285.4928,47.5472
11,2,25,1106,286.9402,48.2576
11,2,535,550,285.6948,48.3500
11,2,1038,17,284.4828,48.4385
11,2,1038,1106,285.9419,49.1624
11,3,25,17,283.3448,49.3977
11,3,25,1106,284.8146,50.1361
11,3,535,550,284.5885,49.3155
11,3,1038,17,284.3935,48.5160
11,3,1038,1106,285.8535,49.2411
11,4,25,17,286.3459,50.8621
11,4,25,1106,284.8297,50.1435
11,4,535,550,286.1228,50.0604
11,4,1038,17,287.3718,49.9543
11,4,1038,1106,285.8684,49.2484
12,1,25,17,290.8017,46.5819
12,1,25,1106,289.3501,45.9195
12,1,535,550,289.6352,46.7295
12,1,1038,17,289.9034,47.5183
12,1,1038,1106,288.4368,46.8445
12,2,25,17,287.9187,45.2327
12,2,25,1106,289.3356,45.9127
12,2,535,550,288.1484,46.0308
12,2,1038,17,286.9927,46.1454
12,2,1038,1106,288.4222,46.8376
12,3,25,17,285.9531,47.1271
12,3,25,1106,287.3948,47.8321
12,3,535,550,287.1375,47.0169
12,3,1038,17,286.9118,46.2223
12,3,1038,1106,288.3425,46.9152
12,4,25,17,288.8913,48.5249
12,4,25,1106,287.4095,47.8392
12,4,535,550,288.6391,47.7283
12,4,1038,17,289.8252,47.5966
12,4,1038,1106,288.3571,46.9221
13,1,25,17,292.9659,44.1606
13,1,25,1106,291.5510,43.5243
13,1,535,550,291.8539,44.3288
13,1,1038,17,292.1401,45.1124
13,1,1038,1106,290.7104,44.4660
13,2,25,17,290.1518,42.8648
13,2,25,1106,291.5369,43.5178
13,2,535,550,290.4025,43.6581
13,2,1038,17,289.2983,43.7953
13,2,1038,1106,290.6961,44.4594
13,3,25,17,288.3421,44.7983
13,3,25,1106,289.7522,45.4741
13,3,535,550,289.4724,44.6643
13,3,1038,17,289.2239,43.8744
13,3,1038,1106,290.6228,44.5393
13,4,25,17,291.2114,46.1380
13,4,25,1106,289.7667,45.4808
13,4,535,550,290.9386,45.3466
13,4,1038,17,292.0682,45.1932
13,4,1038,1106,290.6371,44.5460
14,1,25,17,290.5414,42.4285
14,1,25,1106,291.9220,43.0756
14,1,535,550,291.6225,42.2716
14,1,1038,17,291.3539,41.4869
14,1,1038,1106,292.7232,42.1242
14,2,25,17,293.3466,43.7115
14,2,25,1106,291.9362,43.0821
14,2,535,550,293.0557,42.9253
14,2,1038,17,294.1342,42.7511
14,2,1038,1106,292.7371,42.1306
14,3,25,17,294.9625,41.7018
14,3,25,1106,293.5820,41.0903
14,3,535,550,293.8999,41.8892
14,3,1038,17,294.2010,42.6677
14,3,1038,1106,292.8059,42.0472
14,4,25,17,292.2132,40.4570
14,4,25,1106,293.5682,41.0841
14,4,535,550,292.4817,41.2453
14,4,1038,17,291.4244,41.4037
14,4,1038,1106,292.7919,42.0409
15,1,25,17,292.5751,40.0098
15,1,25,1106,293.9235,40.6340
15,1,535,550,293.6120,39.8350
15,1,1038,17,293.3308,39.0550
15,1,1038,1106,294.6682,39.6703
15,2,25,17,295.3114,41.2476
15,2,25,1106,293.9372,40.6402
15,2,535,550,295.0101,40.4660
15,2,1038,17,296.0432,40.2759
15,2,1038,1106,294.6818,39.6764
15,3,25,17,296.8142,39.2145
15,3,25,1106,295.4674,38.6241
15,3,535,550,295.7952,39.4179
15,3,1038,17,296.1060,40.1916
15,3,1038,1106,294.7455,39.5931
15,4,25,17,294.1293,38.0129
15,4,25,1106,295.4539,38.6181
15,4,535,550,294.4105,38.7967
15,4,1038,17,293.3952,38.9728
15,4,1038,1106,294.7319,39.5870
16,1,25,17,292.1304,50.5180
16,1,25,1106,290.5455,49.8725
16,1,535,550,290.8733,50.6792
16,1,1038,17,291.1843,51.4649
16,1,1038,1106,289.5795,50.8065
16,2,25,17,288.9871,49.1996
16,2,25,1106,290.5297,49.8658
16,2,535,550,289.2506,49.9956
16,2,1038,17,288.0045,50.1198
16,2,1038,1106,289.5636,50.7997
16,3,25,17,286.8945,51.1077
16,3,25,1106,288.4698,51.8026
16,3,535,550,288.1759,50.9894
16,3,1038,17,287.9181,50.1965
16,3,1038,1106,289.4786,50.8776
16,4,25,17,290.1109,52.4819
16,4,25,1106,288.4860,51.8095
16,4,535,550,289.8180,51.6879
16,4,1038,17,291.1011,51.5439
16,4,1038,1106,289.4946,50.8844
17,1,25,17,294.3955,48.0762
17,1,25,1106,292.8594,47.4597
17,1,535,550,293.2064,48.2600
17,1,1038,17,293.5368,49.0397
17,1,1038,1106,291.9810,48.4117
17,2,25,17,291.3439,46.8171
17,2,25,1106,292.8440,47.4533
17,2,535,550,291.6308,47.6075
17,2,1038,17,290.4487,47.7566
17,2,1038,1106,291.9655,48.4052
17,3,25,17,289.4397,48.7675
17,3,25,1106,290.9731,49.4298
17,3,535,550,290.6537,48.6229
17,3,1038,17,290.3701,47.8356
17,3,1038,1106,291.8882,48.4855
17,4,25,17,292.5643,50.0771
17,4,25,1106,290.9888,49.4364
17,4,535,550,292.2486,49.2889
17,4,1038,17,293.4610,49.1211
17,4,1038,1106,291.9037,48.4919
18,1,25,17,293.5761,44.3738
18,1,25,1106,292.6942,45.4013
18,1,535,550,293.8313,45.1675
18,1,1038,17,294.9316,44.9409
18,1,1038,1106,294.0659,45.9795
18,2,25,17,291.7711,46.4323
18,2,25,1106,292.6852,45.4116
18,2,535,550,292.9131,46.2299
18,2,1038,17,293.1580,47.0218
